File,Transcript,Confidence,TimeStamps
dr-raman_2024-04-30_12-59-28/increased_19_output.wav_alternative_0,I cannot go back now,0.945709228515625,"Word: I, start_time: 18.2, end_time: 18.6
Word: cannot, start_time: 18.6, end_time: 18.9
Word: go, start_time: 18.9, end_time: 19.1
Word: back, start_time: 19.1, end_time: 19.4
Word: now, start_time: 19.4, end_time: 19.4
"
dr-raman_2024-04-30_12-59-28/increased_21_output.wav_alternative_0,I hated the salsa.,0.4741520583629608,"Word: I, start_time: 13.5, end_time: 13.9
Word: hated, start_time: 13.9, end_time: 14.5
Word: the, start_time: 14.5, end_time: 14.6
Word: salsa., start_time: 14.6, end_time: 15.3
"
dr-raman_2024-04-30_12-59-28/increased_2_output.wav_alternative_0,yeah,0.8110715746879578,"Word: yeah, start_time: 10.4, end_time: 10.9
"
dr-raman_2024-04-30_12-59-28/increased_2_output.wav_alternative_1, bass player to tell what they are saying so that you can record we need the retinal pigment epithelium you can also see the transmission defects you have a bit of a brake fluid some hyper reflective Zach do cardiovascular membrane,0.9087647199630737,"Word: bass, start_time: 21.2, end_time: 21.7
Word: player, start_time: 21.7, end_time: 22.0
Word: to, start_time: 22.0, end_time: 22.3
Word: tell, start_time: 22.3, end_time: 22.5
Word: what, start_time: 22.5, end_time: 22.7
Word: they, start_time: 22.7, end_time: 22.8
Word: are, start_time: 22.8, end_time: 22.9
Word: saying, start_time: 22.9, end_time: 23.1
Word: so, start_time: 23.1, end_time: 23.4
Word: that, start_time: 23.4, end_time: 23.5
Word: you, start_time: 23.5, end_time: 23.7
Word: can, start_time: 23.7, end_time: 23.8
Word: record, start_time: 23.8, end_time: 24.0
Word: we, start_time: 24.0, end_time: 33.5
Word: need, start_time: 33.5, end_time: 33.8
Word: the, start_time: 33.8, end_time: 34.0
Word: retinal, start_time: 34.0, end_time: 35.2
Word: pigment, start_time: 35.2, end_time: 35.4
Word: epithelium, start_time: 35.4, end_time: 35.7
Word: you, start_time: 35.7, end_time: 36.6
Word: can, start_time: 36.6, end_time: 36.8
Word: also, start_time: 36.8, end_time: 37.0
Word: see, start_time: 37.0, end_time: 37.3
Word: the, start_time: 37.3, end_time: 38.1
Word: transmission, start_time: 38.1, end_time: 39.0
Word: defects, start_time: 39.0, end_time: 39.6
Word: you, start_time: 39.6, end_time: 39.7
Word: have, start_time: 39.7, end_time: 39.9
Word: a, start_time: 39.9, end_time: 40.0
Word: bit, start_time: 40.0, end_time: 40.4
Word: of, start_time: 40.4, end_time: 40.5
Word: a, start_time: 40.5, end_time: 40.7
Word: brake, start_time: 40.7, end_time: 41.0
Word: fluid, start_time: 41.0, end_time: 41.5
Word: some, start_time: 41.5, end_time: 43.0
Word: hyper, start_time: 43.0, end_time: 43.3
Word: reflective, start_time: 43.3, end_time: 43.8
Word: Zach, start_time: 43.8, end_time: 46.3
Word: do, start_time: 46.3, end_time: 46.6
Word: cardiovascular, start_time: 46.6, end_time: 47.6
Word: membrane, start_time: 47.6, end_time: 48.3
"
dr-raman_2024-04-30_12-59-28/increased_2_output.wav_alternative_2, captain,0.7998373508453369,"Word: captain, start_time: 50.1, end_time: 50.8
"
dr-raman_2024-04-30_12-59-28/increased_2_output.wav_alternative_3, this image going to the other thing it's also same can see you're partly that is a membrane definitely which is partly atrophic partly still active having some original fluid has no internal fluid there some hypothetical guy just in the outlet in the layers,0.9075440168380737,"Word: this, start_time: 55.6, end_time: 56.1
Word: image, start_time: 56.1, end_time: 56.3
Word: going, start_time: 56.3, end_time: 57.0
Word: to, start_time: 57.0, end_time: 57.3
Word: the, start_time: 57.3, end_time: 57.5
Word: other, start_time: 57.5, end_time: 57.7
Word: thing, start_time: 57.7, end_time: 58.3
Word: it's, start_time: 58.3, end_time: 58.4
Word: also, start_time: 58.4, end_time: 58.8
Word: same, start_time: 58.8, end_time: 59.3
Word: can, start_time: 59.3, end_time: 60.2
Word: see, start_time: 60.2, end_time: 60.4
Word: you're, start_time: 60.4, end_time: 60.6
Word: partly, start_time: 60.6, end_time: 61.1
Word: that, start_time: 61.1, end_time: 62.2
Word: is, start_time: 62.2, end_time: 62.3
Word: a, start_time: 62.3, end_time: 62.3
Word: membrane, start_time: 62.3, end_time: 62.8
Word: definitely, start_time: 62.8, end_time: 63.4
Word: which, start_time: 63.4, end_time: 63.6
Word: is, start_time: 63.6, end_time: 63.8
Word: partly, start_time: 63.8, end_time: 64.7
Word: atrophic, start_time: 64.7, end_time: 65.2
Word: partly, start_time: 65.2, end_time: 65.9
Word: still, start_time: 65.9, end_time: 66.4
Word: active, start_time: 66.4, end_time: 67.0
Word: having, start_time: 67.0, end_time: 67.7
Word: some, start_time: 67.7, end_time: 67.9
Word: original, start_time: 67.9, end_time: 68.0
Word: fluid, start_time: 68.0, end_time: 68.8
Word: has, start_time: 68.8, end_time: 69.1
Word: no, start_time: 69.1, end_time: 69.1
Word: internal, start_time: 69.1, end_time: 69.8
Word: fluid, start_time: 69.8, end_time: 70.4
Word: there, start_time: 70.4, end_time: 71.1
Word: some, start_time: 71.1, end_time: 71.3
Word: hypothetical, start_time: 71.3, end_time: 71.8
Word: guy, start_time: 71.8, end_time: 72.6
Word: just, start_time: 72.6, end_time: 73.5
Word: in, start_time: 73.5, end_time: 73.7
Word: the, start_time: 73.7, end_time: 73.8
Word: outlet, start_time: 73.8, end_time: 74.3
Word: in, start_time: 74.3, end_time: 74.3
Word: the, start_time: 74.3, end_time: 74.4
Word: layers, start_time: 74.4, end_time: 74.9
"
dr-raman_2024-04-30_12-59-28/increased_2_output.wav_alternative_4, yeah this is going to ride the center of the phobia you can see this active coronavirus plasma membrane which is subject to open Brain which is active can see few of these around Shadows which are actually degenerative cyst,0.9142956733703613,"Word: yeah, start_time: 79.8, end_time: 80.2
Word: this, start_time: 80.2, end_time: 80.6
Word: is, start_time: 80.6, end_time: 80.7
Word: going, start_time: 80.7, end_time: 81.9
Word: to, start_time: 81.9, end_time: 82.1
Word: ride, start_time: 82.1, end_time: 82.4
Word: the, start_time: 82.4, end_time: 82.6
Word: center, start_time: 82.6, end_time: 83.0
Word: of, start_time: 83.0, end_time: 83.1
Word: the, start_time: 83.1, end_time: 83.2
Word: phobia, start_time: 83.2, end_time: 83.7
Word: you, start_time: 83.7, end_time: 84.6
Word: can, start_time: 84.6, end_time: 84.9
Word: see, start_time: 84.9, end_time: 85.2
Word: this, start_time: 85.2, end_time: 85.4
Word: active, start_time: 85.4, end_time: 85.9
Word: coronavirus, start_time: 85.9, end_time: 86.6
Word: plasma, start_time: 86.6, end_time: 87.4
Word: membrane, start_time: 87.4, end_time: 88.0
Word: which, start_time: 88.0, end_time: 88.9
Word: is, start_time: 88.9, end_time: 89.1
Word: subject, start_time: 89.1, end_time: 89.6
Word: to, start_time: 89.6, end_time: 89.9
Word: open, start_time: 89.9, end_time: 92.0
Word: Brain, start_time: 92.0, end_time: 92.3
Word: which, start_time: 92.3, end_time: 92.5
Word: is, start_time: 92.5, end_time: 92.6
Word: active, start_time: 92.6, end_time: 93.0
Word: can, start_time: 93.0, end_time: 93.9
Word: see, start_time: 93.9, end_time: 94.2
Word: few, start_time: 94.2, end_time: 94.6
Word: of, start_time: 94.6, end_time: 94.8
Word: these, start_time: 94.8, end_time: 94.9
Word: around, start_time: 94.9, end_time: 95.9
Word: Shadows, start_time: 95.9, end_time: 96.6
Word: which, start_time: 96.6, end_time: 96.9
Word: are, start_time: 96.9, end_time: 97.1
Word: actually, start_time: 97.1, end_time: 97.3
Word: degenerative, start_time: 97.3, end_time: 98.5
Word: cyst, start_time: 98.5, end_time: 99.1
"
dr-raman_2024-04-30_12-59-28/increased_2_output.wav_alternative_5, I will be out of it nice very healthy you can see the external limiting membrane is very much intact,0.8402959704399109,"Word: I, start_time: 104.0, end_time: 104.3
Word: will, start_time: 104.3, end_time: 104.5
Word: be, start_time: 104.5, end_time: 105.3
Word: out, start_time: 105.3, end_time: 106.1
Word: of, start_time: 106.1, end_time: 106.2
Word: it, start_time: 106.2, end_time: 106.4
Word: nice, start_time: 106.4, end_time: 106.8
Word: very, start_time: 106.8, end_time: 107.0
Word: healthy, start_time: 107.0, end_time: 107.5
Word: you, start_time: 107.5, end_time: 107.6
Word: can, start_time: 107.6, end_time: 107.9
Word: see, start_time: 107.9, end_time: 108.1
Word: the, start_time: 108.1, end_time: 108.3
Word: external, start_time: 108.3, end_time: 109.0
Word: limiting, start_time: 109.0, end_time: 109.4
Word: membrane, start_time: 109.4, end_time: 109.6
Word: is, start_time: 109.6, end_time: 110.4
Word: very, start_time: 110.4, end_time: 110.7
Word: much, start_time: 110.7, end_time: 110.9
Word: intact, start_time: 110.9, end_time: 111.3
"
dr-raman_2024-04-30_12-59-28/increased_2_output.wav_alternative_6, I didn't swing the same patties card membrane causing this transmission defects that new CD Berkeley actor currently has premium to see some internal cysts and apple pie,0.8520917892456055,"Word: I, start_time: 116.7, end_time: 117.1
Word: didn't, start_time: 117.1, end_time: 117.5
Word: swing, start_time: 117.5, end_time: 117.8
Word: the, start_time: 117.8, end_time: 118.0
Word: same, start_time: 118.0, end_time: 118.2
Word: patties, start_time: 118.2, end_time: 119.0
Word: card, start_time: 119.0, end_time: 119.1
Word: membrane, start_time: 119.1, end_time: 119.9
Word: causing, start_time: 119.9, end_time: 120.9
Word: this, start_time: 120.9, end_time: 121.1
Word: transmission, start_time: 121.1, end_time: 122.8
Word: defects, start_time: 122.8, end_time: 124.4
Word: that, start_time: 124.4, end_time: 124.6
Word: new, start_time: 124.6, end_time: 124.8
Word: CD, start_time: 124.8, end_time: 125.3
Word: Berkeley, start_time: 125.3, end_time: 129.2
Word: actor, start_time: 129.2, end_time: 129.5
Word: currently, start_time: 129.5, end_time: 129.8
Word: has, start_time: 129.8, end_time: 130.2
Word: premium, start_time: 130.2, end_time: 132.1
Word: to, start_time: 132.1, end_time: 132.5
Word: see, start_time: 132.5, end_time: 132.8
Word: some, start_time: 132.8, end_time: 133.0
Word: internal, start_time: 133.0, end_time: 133.5
Word: cysts, start_time: 133.5, end_time: 134.4
Word: and, start_time: 134.4, end_time: 134.9
Word: apple, start_time: 134.9, end_time: 135.2
Word: pie, start_time: 135.2, end_time: 136.2
"
dr-raman_2024-04-30_12-59-28/increased_2_output.wav_alternative_7, the game exactly the similar type of picture,0.9649306535720825,"Word: the, start_time: 139.9, end_time: 140.3
Word: game, start_time: 140.3, end_time: 140.6
Word: exactly, start_time: 140.6, end_time: 140.9
Word: the, start_time: 140.9, end_time: 141.3
Word: similar, start_time: 141.3, end_time: 141.7
Word: type, start_time: 141.7, end_time: 142.0
Word: of, start_time: 142.0, end_time: 142.2
Word: picture, start_time: 142.2, end_time: 142.7
"
