patient_id,image_number,page_load_time,next_button_click_time
tutorial,1,2024-08-06T15:14:37.825Z,2024-08-06T15:15:51.766Z
n3,1,2024-08-06T15:19:11.470Z,2024-08-06T15:19:39.446Z
n42,3,2024-08-06T15:20:13.171Z,2024-08-06T15:20:46.647Z
w98,4,2024-08-06T15:21:23.719Z,2024-08-06T15:21:51.313Z
n2,4,2024-08-06T15:22:25.196Z,2024-08-06T15:22:53.159Z
w3,5,2024-08-06T15:23:18.084Z,2024-08-06T15:23:46.420Z
w123,5,2024-08-06T15:24:23.815Z,2024-08-06T15:24:56.645Z
w7,5,2024-08-06T15:25:28.259Z,2024-08-06T15:26:06.530Z
n5,3,2024-08-06T15:26:38.650Z,2024-08-06T15:27:16.133Z
n84,3,2024-08-06T15:28:07.333Z,2024-08-06T15:28:34.543Z
n6,3,2024-08-06T15:29:04.700Z,2024-08-06T15:29:34.011Z
w14,5,2024-08-06T15:30:03.090Z,2024-08-06T15:30:29.273Z
w35,2,2024-08-06T15:31:13.087Z,2024-08-06T15:31:32.848Z
w5,2,2024-08-06T15:32:05.466Z,2024-08-06T15:32:29.925Z
n1,2,2024-08-06T15:32:58.359Z,2024-08-06T15:33:24.634Z
w1,5,2024-08-06T15:34:00.702Z,2024-08-06T15:34:19.715Z
w2,5,2024-08-06T15:34:48.142Z,2024-08-06T15:35:10.176Z
n82,3,2024-08-06T15:35:49.385Z,2024-08-06T15:36:35.718Z
n79,2,2024-08-06T15:37:25.043Z,2024-08-06T15:37:39.657Z
n85,2,2024-08-06T15:38:00.086Z,2024-08-06T15:38:33.841Z
w118,3,2024-08-06T15:39:07.108Z,2024-08-06T15:39:20.437Z
