patient_id,image_number,page_load_time,next_button_click_time
tutorial,5,,2024-09-11T19:42:35.036Z
w117,5,,2024-09-11T19:43:29.544Z
n9,4,,2024-09-11T19:44:11.503Z
n7,4,,2024-09-11T19:44:53.532Z
n37,4,,2024-09-11T19:45:37.162Z
n16,3,,2024-09-11T19:46:10.308Z
w9,5,,2024-09-11T19:47:08.084Z
w59,4,,2024-09-11T19:47:55.002Z
w11,3,,2024-09-11T19:48:49.717Z
n10,5,,2024-09-11T19:49:18.107Z
n87,2,,2024-09-11T19:49:54.251Z
w25,3,,2024-09-11T19:50:43.170Z
w24,3,,2024-09-11T19:51:37.745Z
w10,2,,2024-09-11T19:52:32.175Z
n11,3,,2024-09-11T19:52:58.629Z
n8,3,,2024-09-11T19:53:22.939Z
n54,4,,2024-09-11T19:53:50.087Z
w19,2,,2024-09-11T19:54:40.212Z
n70,4,,2024-09-11T19:55:13.388Z
w6,5,,2024-09-11T19:55:47.618Z
w8,3,,2024-09-11T19:56:50.572Z
