patient_id,image_number,page_load_time,next_button_click_time
tutorial,3,,2024-09-11T19:19:10.781Z
n2,4,,2024-09-11T19:20:42.460Z
w1,3,,2024-09-11T19:21:22.547Z
w2,2,,2024-09-11T19:22:10.927Z
n42,3,,2024-09-11T19:23:02.611Z
n3,4,,2024-09-11T19:23:43.427Z
n36,2,,2024-09-11T19:24:20.555Z
n1,4,,2024-09-11T19:25:01.098Z
n51,5,,2024-09-11T19:26:22.274Z
n5,2,,2024-09-11T19:27:18.860Z
n6,2,,2024-09-11T19:28:12.506Z
w5,4,,2024-09-11T19:29:07.025Z
w55,3,,2024-09-11T19:30:01.803Z
w96,5,,2024-09-11T19:31:08.586Z
n97,3,,2024-09-11T19:31:54.895Z
w3,2,,2024-09-11T19:32:32.503Z
n23,3,,2024-09-11T19:33:11.854Z
w94,3,,2024-09-11T19:33:36.177Z
w43,3,,2024-09-11T19:34:34.508Z
w7,2,,2024-09-11T19:35:06.065Z
w74,5,,2024-09-11T19:36:10.698Z
