patient_id,image_number,page_load_time,next_button_click_time
tutorial,4,,2024-09-06T17:34:03.148Z
n99,4,,2024-09-06T17:34:49.366Z
n85,3,,2024-09-06T17:35:31.212Z
w118,3,,2024-09-06T17:36:12.660Z
n92,4,,2024-09-06T17:37:06.852Z
w8,3,,2024-09-06T17:37:49.188Z
n75,4,,2024-09-06T17:39:05.630Z
w105,2,,2024-09-06T17:39:37.331Z
w10,2,,2024-09-06T17:40:05.043Z
w9,4,,2024-09-06T17:40:47.758Z
n68,2,,2024-09-06T17:41:35.967Z
n9,5,,2024-09-06T17:42:03.012Z
w34,4,,2024-09-06T17:42:49.940Z
n7,2,,2024-09-06T17:43:25.320Z
n8,4,,2024-09-06T17:43:52.423Z
w6,4,,2024-09-06T17:44:24.057Z
w11,2,,2024-09-06T17:45:37.500Z
w50,3,,2024-09-06T17:46:26.405Z
n10,4,,2024-09-06T17:46:59.647Z
n11,3,,2024-09-06T17:47:30.596Z
w106,3,,2024-09-06T17:48:01.881Z
