patient_id,image_number,page_load_time,next_button_click_time
tutorial,2,,2024-09-06T17:26:55.066Z
n1,3,,2024-09-06T17:27:07.400Z
w3,3,,2024-09-06T17:27:15.511Z
w2,1,,2024-09-06T17:27:21.467Z
n16,2,,2024-09-06T17:27:28.058Z
w7,3,,2024-09-06T17:27:33.969Z
w5,3,,2024-09-06T17:27:38.916Z
n4,2,,2024-09-06T17:27:45.949Z
n3,3,,2024-09-06T17:27:50.464Z
n6,4,,2024-09-06T17:27:55.487Z
n2,1,,2024-09-06T17:28:00.183Z
w54,3,,2024-09-06T17:28:05.101Z
w119,2,,2024-09-06T17:28:09.980Z
n80,3,,2024-09-06T17:28:16.043Z
w29,2,,2024-09-06T17:28:20.846Z
n74,1,,2024-09-06T17:28:25.662Z
w1,3,,2024-09-06T17:28:34.153Z
n97,3,,2024-09-06T17:28:44.323Z
n5,2,,2024-09-06T17:28:55.165Z
w80,2,,2024-09-06T17:29:00.960Z
w26,3,,2024-09-06T17:29:05.779Z
