patient_id,image_number,page_load_time,next_button_click_time
tutorial,2,2024-08-02T20:44:38.383Z,2024-08-02T20:44:41.249Z
n3,5,2024-08-02T20:44:52.089Z,2024-08-02T20:44:57.017Z
w41,3,2024-08-02T20:45:03.359Z,2024-08-02T20:45:17.842Z
w1,5,2024-08-02T20:45:25.652Z,2024-08-02T20:45:30.254Z
n88,5,2024-08-02T20:45:36.272Z,2024-08-02T20:45:37.759Z
n46,3,2024-08-02T20:45:45.142Z,2024-08-02T20:45:47.177Z
w7,5,2024-08-02T20:46:04.740Z,2024-08-02T20:46:08.622Z
w81,3,2024-08-02T20:46:16.036Z,2024-08-02T20:46:22.613Z
w2,2,2024-08-02T20:46:31.499Z,2024-08-02T20:46:34.363Z
w107,5,2024-08-02T20:46:42.766Z,2024-08-02T20:46:49.210Z
n2,5,2024-08-02T20:46:55.745Z,2024-08-02T20:46:58.554Z
n92,5,2024-08-02T20:47:03.955Z,2024-08-02T20:47:04.987Z
w5,2,2024-08-02T20:47:22.482Z,2024-08-02T20:47:24.068Z
w47,5,2024-08-02T20:47:30.731Z,2024-08-02T20:47:33.118Z
n5,5,2024-08-02T20:47:40.220Z,2024-08-02T20:47:42.146Z
n15,3,2024-08-02T20:47:46.225Z,2024-08-02T20:47:47.630Z
w3,3,2024-08-02T20:47:52.175Z,2024-08-02T20:47:55.261Z
w20,5,2024-08-02T20:48:08.044Z,2024-08-02T20:48:09.117Z
n96,5,2024-08-02T20:48:12.810Z,2024-08-02T20:48:14.489Z
n6,3,2024-08-02T20:48:19.870Z,2024-08-02T20:48:21.047Z
n1,5,2024-08-02T20:48:24.775Z,2024-08-02T20:48:25.966Z
tutorial,2,2024-08-02T20:52:37.387Z,2024-08-02T20:52:39.287Z
w7,5,2024-08-02T20:52:46.428Z,2024-08-02T20:52:47.871Z
w5,5,2024-08-02T20:52:54.095Z,2024-08-02T20:52:54.927Z
n94,5,2024-08-02T20:52:59.209Z,2024-08-02T20:53:00.209Z
n5,2,2024-08-02T20:53:04.388Z,2024-08-02T20:53:05.327Z
w20,5,2024-08-02T20:53:08.877Z,2024-08-02T20:53:11.793Z
n90,5,2024-08-02T20:53:15.581Z,2024-08-02T20:53:17.166Z
n2,3,2024-08-02T20:53:22.563Z,2024-08-02T20:53:24.222Z
w1,2,2024-08-02T20:53:28.277Z,2024-08-02T20:53:29.479Z
w126,4,2024-08-02T20:53:34.020Z,2024-08-02T20:53:36.252Z
w2,5,2024-08-02T20:53:39.943Z,2024-08-02T20:53:42.425Z
w98,1,2024-08-02T20:53:47.322Z,2024-08-02T20:53:48.781Z
w3,4,2024-08-02T20:53:52.494Z,2024-08-02T20:53:53.713Z
w112,3,2024-08-02T20:53:57.618Z,2024-08-02T20:53:58.465Z
n3,5,2024-08-02T20:54:03.592Z,2024-08-02T20:54:04.937Z
w24,5,2024-08-02T20:54:12.086Z,2024-08-02T20:54:13.003Z
n1,4,2024-08-02T20:54:16.701Z,2024-08-02T20:54:18.184Z
n67,4,2024-08-02T20:54:22.797Z,2024-08-02T20:54:23.924Z
n71,1,2024-08-02T20:54:27.771Z,2024-08-02T20:54:28.640Z
n12,3,2024-08-02T20:54:32.167Z,2024-08-02T20:54:33.047Z
n6,4,2024-08-02T20:54:36.581Z,2024-08-02T20:54:37.492Z
