patient_id,image_number,page_load_time,next_button_click_time
tutorial,4,2024-08-01T17:21:54.432Z,2024-08-01T17:21:59.601Z
n38,2,2024-08-01T17:23:07.185Z,2024-08-01T17:23:11.688Z
n100,3,2024-08-01T17:23:42.489Z,2024-08-01T17:23:44.853Z
w64,1,2024-08-01T17:23:54.366Z,2024-08-01T17:23:56.151Z
n96,5,2024-08-01T17:24:17.670Z,2024-08-01T17:24:20.165Z
n97,5,2024-08-01T17:24:47.246Z,2024-08-01T17:24:48.590Z
w5,3,2024-08-01T17:24:53.031Z,2024-08-01T17:24:54.872Z
n6,5,2024-08-01T17:25:05.609Z,2024-08-01T17:25:07.509Z
w7,5,2024-08-01T17:25:13.778Z,2024-08-01T17:25:15.052Z
w38,5,2024-08-01T17:25:21.785Z,2024-08-01T17:25:25.264Z
n2,5,2024-08-01T17:25:37.104Z,2024-08-01T17:25:42.561Z
n3,5,2024-08-01T17:25:47.346Z,2024-08-01T17:26:02.957Z
w2,5,2024-08-01T17:26:16.851Z,2024-08-01T17:26:19.031Z
n1,5,2024-08-01T17:26:23.510Z,2024-08-01T17:26:25.138Z
n5,5,2024-08-01T17:26:29.045Z,2024-08-01T17:26:30.072Z
w3,5,2024-08-01T17:26:33.911Z,2024-08-01T17:26:35.028Z
w68,2,2024-08-01T17:26:51.526Z,2024-08-01T17:26:53.246Z
w74,1,2024-08-01T17:26:58.370Z,2024-08-01T17:27:00.212Z
n76,3,2024-08-01T17:27:04.793Z,2024-08-01T17:27:05.915Z
w1,4,2024-08-01T17:27:09.922Z,2024-08-01T17:27:11.584Z
w79,5,2024-08-01T17:27:16.434Z,2024-08-01T17:27:17.983Z
