,text,score,time
0,,Empty,2024-08-02_16-52-52
1,,Empty,2024-08-02_16-52-58
2,,Empty,2024-08-02_16-53-02
3,,Empty,2024-08-02_16-53-07
4,,Empty,2024-08-02_16-53-14
5,,Empty,2024-08-02_16-53-21
6,,Empty,2024-08-02_16-53-27
7,,Empty,2024-08-02_16-53-32
8,,Empty,2024-08-02_16-53-38
9,,Empty,2024-08-02_16-53-45
10,,Empty,2024-08-02_16-53-51
11,,Empty,2024-08-02_16-53-56
12,,Empty,2024-08-02_16-54-02
13,,Empty,2024-08-02_16-54-07
14,,Empty,2024-08-02_16-54-15
15,,Empty,2024-08-02_16-54-21
16,,Empty,2024-08-02_16-54-26
17,,Empty,2024-08-02_16-54-31
18,,Empty,2024-08-02_16-54-35
19,,Empty,2024-08-02_16-54-42
